workload,group,score
sdss,within,0.634995
sdss,within,0.621877
sdss,within,0.520772
sdss,within,0.610261
sdss,within,0.706108
sdss,within,0.802049
sdss,within,0.677548
sdss,within,0.933716
sdss,within,0.676496
sdss,within,0.682504
sdss,within,0.638187
sdss,within,0.528074
sdss,within,0.703523
sdss,within,0.745201
sdss,within,0.691159
sdss,within,0.726995
sdss,within,0.528648
sdss,within,0.636716
sdss,within,0.611906
sdss,within,0.808059
sdss,within,0.731293
sdss,within,0.606738
sdss,within,0.734087
sdss,within,0.662512
sdss,within,0.739369
sdss,within,0.778647
sdss,within,0.809764
sdss,within,0.806462
sdss,within,0.658640
sdss,within,0.639947
sdss,within,0.785790
sdss,within,0.655464
sdss,within,0.642872
sdss,within,0.693494
sdss,within,0.707146
sdss,within,0.642813
sdss,within,0.759732
sdss,within,0.784244
sdss,within,0.649201
sdss,within,0.573026
sdss,within,0.614260
sdss,within,0.766481
sdss,within,0.781621
sdss,within,0.712850
sdss,within,0.732519
sdss,within,0.751068
sdss,within,0.545203
sdss,within,0.734238
sdss,within,0.753517
sdss,within,0.832952
sdss,within,0.764078
sdss,within,0.839487
sdss,within,0.675779
sdss,within,0.655174
sdss,within,0.620139
sdss,within,0.814664
sdss,within,0.802748
sdss,within,0.619463
sdss,within,0.844543
sdss,within,0.850888
sdss,within,0.852673
sdss,within,0.693426
sdss,within,0.802276
sdss,within,0.679699
sdss,within,0.739246
sdss,within,0.701230
sdss,within,0.710014
sdss,within,0.787007
sdss,within,0.812045
sdss,within,0.746288
sdss,within,0.705671
sdss,within,0.892663
sdss,within,0.798760
sdss,within,0.699392
sdss,within,0.722519
sdss,within,0.651059
sdss,within,0.765175
sdss,within,0.697293
sdss,within,0.787830
sdss,within,0.802539
sdss,within,0.715687
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.875000
