timestamp,sf,condition,block,rep_in_block,qps,wall_qps,total_time_s,wall_time_s,num_queries,errors,advisor_calls,trigger_rate,time_phase_A_s,time_phase_B_s,time_phase_Arep_s,time_phase_C_s
2026-04-15T03:58:12.858606,3.0,always_on,1,1,0.9775,0.2387,122.7637,502.7581,120,0,24,1.0,21.9932,74.0925,21.8241,3.654
2026-04-15T04:00:53.370060,3.0,baseline,1,2,1.0435,1.0434,115.0018,115.0034,120,0,0,0.0,22.9164,65.2488,23.14,3.6967
2026-04-15T04:05:27.726959,3.0,periodic,1,3,0.9887,0.5338,121.3682,224.8228,120,0,8,0.3333,21.8588,73.7109,21.8349,3.5635
2026-04-15T04:09:22.770838,3.0,hsm_gated,1,4,0.9205,0.6288,130.362,190.8527,120,0,5,0.2083,22.6236,81.8447,21.9965,3.6471
2026-04-15T04:13:19.683883,3.0,hsm_gated,2,1,0.9267,0.6211,129.4891,193.2135,120,0,5,0.2083,23.0823,80.9205,21.5081,3.7283
2026-04-15T04:15:56.065837,3.0,baseline,2,2,1.065,1.065,112.6769,112.6784,120,0,0,0.0,22.7017,63.5873,22.655,3.7329
2026-04-15T04:24:45.723544,3.0,always_on,2,3,0.9782,0.2508,122.6731,478.3804,120,0,24,1.0,21.6925,74.0897,22.0067,3.6843
2026-04-15T04:29:30.071536,3.0,periodic,2,4,0.9834,0.5024,122.0267,238.8443,120,0,8,0.3333,21.6508,74.246,22.0509,3.6788
2026-04-15T04:34:52.893646,3.0,periodic,3,1,0.9282,0.4279,129.2812,280.4463,120,0,8,0.3333,21.8566,81.575,21.8508,3.5989
2026-04-15T04:44:12.519782,3.0,always_on,3,2,0.9585,0.233,125.1943,514.9556,120,0,24,1.0,21.91,76.1884,22.1776,3.7183
2026-04-15T04:48:10.303368,3.0,hsm_gated,3,3,0.9304,0.6293,128.9723,190.6928,120,0,3,0.125,22.9246,80.0613,22.1599,3.6766
2026-04-15T04:50:47.537535,3.0,baseline,3,4,1.0629,1.0629,112.9006,112.9021,120,0,0,0.0,22.9406,63.5812,22.6673,3.7115
2026-04-15T04:54:28.463650,3.0,hsm_gated,4,1,1.071,0.688,112.0432,174.4266,120,0,7,0.2917,22.6179,63.6266,21.7799,3.6687
2026-04-15T04:57:07.045898,3.0,baseline,4,2,1.0571,1.0571,113.5184,113.5201,120,0,0,0.0,22.7878,64.1978,22.8236,3.7093
2026-04-15T05:06:33.339114,3.0,always_on,4,3,0.9732,0.2324,123.3104,516.3642,120,0,24,1.0,22.0735,74.6119,21.7741,3.6509
2026-04-15T05:11:31.680620,3.0,periodic,4,4,1.0171,0.4741,117.9821,253.0936,120,0,8,0.3333,22.0293,70.2965,21.6512,3.6051
2026-04-15T05:20:18.685217,3.0,always_on,5,1,0.9898,0.2474,121.2426,485.0478,120,0,24,1.0,22.8664,71.7043,21.8356,3.6363
2026-04-15T05:22:56.803797,3.0,baseline,5,2,1.0472,1.0472,114.5946,114.5963,120,0,0,0.0,22.7658,65.4527,22.6479,3.7282
2026-04-15T05:26:57.304687,3.0,hsm_gated,5,3,0.9172,0.6243,130.8361,192.2034,120,0,3,0.125,22.8697,80.9559,23.2073,3.6532
2026-04-15T05:32:09.347200,3.0,periodic,5,4,0.9385,0.4478,127.8664,267.9527,120,0,8,0.3333,22.8355,78.5872,22.4329,3.6107
2026-04-15T05:34:44.312603,3.0,baseline,6,1,1.064,1.064,112.7793,112.7806,120,0,0,0.0,22.7487,63.4592,22.8592,3.7122
2026-04-15T05:39:43.580822,3.0,periodic,6,2,0.9488,0.4809,126.4753,249.5349,120,0,8,0.3333,21.666,78.915,21.8927,3.6016
2026-04-15T05:43:28.734404,3.0,hsm_gated,6,3,0.9438,0.6623,127.1394,181.1855,120,0,5,0.2083,22.5916,78.9872,21.6839,3.6267
2026-04-15T05:52:12.714859,3.0,always_on,6,4,0.9707,0.2503,123.6163,479.3545,120,0,24,1.0,21.8289,74.8782,22.0931,3.6161
2026-04-15T05:56:12.221348,3.0,hsm_gated,7,1,0.9292,0.6117,129.1412,196.1719,120,0,7,0.2917,22.8011,79.6284,22.6962,3.6656
2026-04-15T06:05:27.681433,3.0,always_on,7,2,0.9726,0.2345,123.38,511.779,120,0,24,1.0,21.8282,74.8984,21.726,3.7274
2026-04-15T06:10:54.106927,3.0,periodic,7,3,0.944,0.425,127.1124,282.3771,120,0,8,0.3333,21.7414,78.904,22.3933,3.6737
2026-04-15T06:13:29.565120,3.0,baseline,7,4,1.0726,1.0725,111.8824,111.8839,120,0,0,0.0,22.873,62.3242,22.9165,3.7687
2026-04-15T06:16:55.175598,3.0,hsm_gated,8,1,1.0467,0.7543,114.6472,159.0863,120,0,3,0.125,22.8421,66.1921,21.8007,3.6622
2026-04-15T06:21:15.117349,3.0,periodic,8,2,1.0665,0.561,112.5167,213.8894,120,0,8,0.3333,22.4126,63.8381,22.121,3.745
2026-04-15T06:23:53.215982,3.0,baseline,8,3,1.0631,1.0631,112.8773,112.879,120,0,0,0.0,22.7959,63.3849,22.8642,3.8323
2026-04-15T06:32:20.993571,3.0,always_on,8,4,0.9887,0.2621,121.3767,457.7724,120,0,24,1.0,22.1223,72.066,22.2022,3.7862
2026-04-15T06:34:56.191464,3.0,baseline,9,1,1.0612,1.0612,113.075,113.0764,120,0,0,0.0,22.8468,63.7218,22.6863,3.82
2026-04-15T06:43:34.998631,3.0,always_on,9,2,1.0111,0.2568,118.6786,467.2116,120,0,24,1.0,22.3918,68.7083,22.7594,3.619
2026-04-15T06:47:04.667424,3.0,hsm_gated,9,3,1.0341,0.7227,116.044,166.0363,120,0,5,0.2083,23.8047,65.2893,23.0245,3.6755
2026-04-15T06:52:06.375698,3.0,periodic,9,4,1.0058,0.4676,119.3098,256.6547,120,0,8,0.3333,22.1812,71.0591,22.0561,3.6134
2026-04-15T06:54:42.374703,3.0,baseline,10,1,1.0514,1.0514,114.1324,114.1339,120,0,0,0.0,23.1397,64.1452,23.0029,3.8446
2026-04-15T06:59:35.732858,3.0,periodic,10,2,1.0544,0.4896,113.8056,245.0839,120,0,8,0.3333,22.6259,64.6962,22.4133,3.6702
2026-04-15T07:08:02.695881,3.0,always_on,10,3,1.014,0.26,118.3424,461.6192,120,0,24,1.0,22.3215,69.1391,21.9174,3.7644
2026-04-15T07:11:28.897147,3.0,hsm_gated,10,4,1.0417,0.7388,115.192,162.4265,120,0,3,0.125,22.8121,65.7777,22.8054,3.6469
