timestamp,block,order_in_block,policy,advisor,wall_time_s,total_query_time_s,total_advisor_time_s,num_queries,errors,qps,wall_qps,advisor_calls,trigger_rate,trigger_precision,transitions_hit,transitions_total,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_skip_ms,latency_mean_trigger_ms
2026-04-15T17:40:33,5,2,periodic,supabase,1.31577,0.772737,0.538657,120,0,155.292222,91.20133,7,0.291667,0.428571,3,3,0.275541,35.891792,68.4515,5.079595,9.731392
2026-04-15T17:40:38,5,3,always_on,supabase,2.363591,0.630707,1.727948,120,0,190.262787,50.770209,24,1.0,0.125,3,3,0.220625,30.562167,69.469125,0.0,5.252961
2026-04-15T17:40:42,5,4,hsm_gated,supabase,1.971505,0.6196,1.290676,120,0,193.673378,60.867196,11,0.458333,0.181818,2,3,0.288958,31.567625,68.753416,2.511506,8.290504
2026-04-15T17:40:45,5,5,baseline,none,0.9339,0.929315,0.0,120,0,129.127379,128.493461,0,0.0,0.0,0,3,0.366792,42.654417,68.739,7.740982,0.0
2026-04-15T17:40:50,5,6,always_on,dexter,3.55554,1.06976,2.479898,120,0,112.174658,33.75015,24,1.0,0.125,3,3,0.411334,49.189875,96.774625,0.0,8.912244
2026-04-15T17:40:55,5,7,hsm_gated,dexter,2.193123,1.003457,1.144955,120,0,119.586534,54.716506,11,0.458333,0.181818,2,3,0.425916,49.169083,71.913667,4.449265,12.977902
2026-04-15T17:40:59,6,1,hsm_gated,supabase,2.502565,0.829432,1.615653,120,0,144.677278,47.950795,17,0.708333,0.176471,3,3,0.262167,32.222333,70.986375,0.288135,9.635641
2026-04-15T17:41:04,6,2,hsm_gated,dexter,2.80084,1.002879,1.752145,120,0,119.655482,42.844284,17,0.708333,0.176471,3,3,0.352375,41.273208,79.963792,0.440794,11.611921
2026-04-15T17:41:09,6,3,always_on,dexter,3.436908,1.003942,2.427026,120,0,119.528758,34.915108,24,1.0,0.125,3,3,0.383875,39.85575,77.286791,0.0,8.363534
2026-04-15T17:41:13,6,4,periodic,dexter,1.796447,1.034706,0.758003,120,0,115.975024,66.798513,7,0.291667,0.428571,3,3,0.355583,39.641291,96.199417,7.431148,11.503125
2026-04-15T17:41:17,6,5,periodic,supabase,1.363497,0.726418,0.632368,120,0,165.194229,88.009005,7,0.291667,0.428571,3,3,0.303334,32.81875,70.028959,4.457137,9.918212
2026-04-15T17:41:20,6,6,baseline,none,0.918698,0.915435,0.0,120,0,131.085228,130.619614,0,0.0,0.0,0,3,0.22225,33.342167,70.042,7.625877,0.0
2026-04-15T17:41:24,6,7,always_on,supabase,2.650302,0.831213,1.813429,120,0,144.367379,45.277862,24,1.0,0.125,3,3,0.259375,33.416209,69.625167,0.0,6.923718
2026-04-15T17:41:29,7,1,always_on,supabase,2.432726,0.664327,1.764196,120,0,180.633992,49.327382,24,1.0,0.125,3,3,0.241791,31.799084,69.033333,0.0,5.533531
