timestamp,sf,condition,block,rep_in_block,qps,wall_qps,total_time_s,wall_time_s,num_queries,errors,advisor_calls,trigger_rate,time_phase_A_s,time_phase_B_s,time_phase_Arep_s,time_phase_C_s
2026-04-15T02:38:12.700428,0.2,always_on,1,1,18.7212,4.9103,6.4099,24.4383,120,0,24,1.0,1.3582,2.1294,1.3825,0.3397
2026-04-15T02:38:22.234513,0.2,baseline,1,2,23.8285,23.8268,5.036,5.0364,120,0,0,0.0,1.2787,2.1165,1.2778,0.3631
2026-04-15T02:38:37.124269,0.2,periodic,1,3,21.8001,11.5141,5.5046,10.422,120,0,8,0.3333,1.3156,2.1693,1.3432,0.2765
2026-04-15T02:38:50.060627,0.2,hsm_gated,1,4,21.8861,14.2114,5.4829,8.4439,120,0,5,0.2083,1.3266,2.232,1.3849,0.2895
2026-04-15T02:39:01.026882,0.2,hsm_gated,2,1,21.7132,13.9628,5.5266,8.5943,120,0,5,0.2083,1.3575,2.1958,1.3974,0.3259
2026-04-15T02:39:10.612145,0.2,baseline,2,2,23.5664,23.5647,5.092,5.0924,120,0,0,0.0,1.3183,2.1165,1.2906,0.3666
2026-04-15T02:39:39.482954,0.2,always_on,2,3,18.3191,4.9135,6.5506,24.4226,120,0,24,1.0,1.3527,2.1872,1.3631,0.4476
2026-04-15T02:39:55.230015,0.2,periodic,2,4,20.9277,10.604,5.734,11.3164,120,0,8,0.3333,1.3403,2.3,1.3732,0.3206
2026-04-15T02:40:11.130276,0.2,periodic,3,1,20.8443,8.9608,5.757,13.3916,120,0,8,0.3333,1.3857,2.2441,1.3476,0.3796
2026-04-15T02:40:41.665695,0.2,always_on,3,2,18.3953,4.6063,6.5234,26.0512,120,0,24,1.0,1.3673,2.1934,1.3688,0.3939
2026-04-15T02:40:54.393338,0.2,hsm_gated,3,3,22.2251,14.5414,5.3993,8.2523,120,0,3,0.125,1.3002,2.2261,1.3434,0.3796
2026-04-15T02:41:04.194544,0.2,baseline,3,4,22.7249,22.7233,5.2806,5.2809,120,0,0,0.0,1.3377,2.1792,1.3733,0.3904
2026-04-15T02:41:15.732986,0.2,hsm_gated,4,1,20.5899,13.1328,5.8281,9.1374,120,0,7,0.2917,1.3319,2.3758,1.3939,0.3764
2026-04-15T02:41:25.602498,0.2,baseline,4,2,22.2713,22.2695,5.3881,5.3885,120,0,0,0.0,1.3267,2.3775,1.3018,0.3821
2026-04-15T02:41:56.520371,0.2,always_on,4,3,18.1438,4.539,6.6138,26.4377,120,0,24,1.0,1.3654,2.3194,1.3576,0.3714
2026-04-15T02:42:13.293796,0.2,periodic,4,4,20.6796,9.7094,5.8028,12.3591,120,0,8,0.3333,1.353,2.3016,1.3789,0.3694
2026-04-15T02:42:40.657449,0.2,always_on,5,1,18.0282,4.817,6.6563,24.9118,120,0,24,1.0,1.3348,2.3698,1.3603,0.3913
2026-04-15T02:42:50.433704,0.2,baseline,5,2,22.8365,22.835,5.2547,5.2551,120,0,0,0.0,1.3592,2.1819,1.3352,0.3784
2026-04-15T02:43:03.488720,0.2,hsm_gated,5,3,21.8004,14.077,5.5045,8.5246,120,0,3,0.125,1.3467,2.2658,1.3535,0.3885
2026-04-15T02:43:20.395561,0.2,periodic,5,4,20.9133,9.616,5.738,12.4792,120,0,8,0.3333,1.3683,2.2557,1.3472,0.3668
2026-04-15T02:43:28.070669,0.2,baseline,6,1,22.8764,22.8747,5.2456,5.246,120,0,0,0.0,1.3232,2.2144,1.2914,0.4166
2026-04-15T02:43:44.284349,0.2,periodic,6,2,20.6222,10.2967,5.819,11.6543,120,0,8,0.3333,1.3696,2.2832,1.3983,0.3679
2026-04-15T02:43:57.083701,0.2,hsm_gated,6,3,20.9031,14.3928,5.7408,8.3375,120,0,5,0.2083,1.3069,2.4125,1.4193,0.3521
2026-04-15T02:44:25.858746,0.2,always_on,6,4,18.2867,4.934,6.5622,24.3209,120,0,24,1.0,1.3678,2.2885,1.3395,0.3664
2026-04-15T02:44:37.337128,0.2,hsm_gated,7,1,21.7733,13.199,5.5113,9.0916,120,0,7,0.2917,1.3169,2.1214,1.3431,0.3799
2026-04-15T02:45:07.930759,0.2,always_on,7,2,18.7906,4.6132,6.3862,26.0124,120,0,24,1.0,1.3527,2.094,1.3645,0.375
2026-04-15T02:45:25.251127,0.2,periodic,7,3,21.5232,9.3641,5.5754,12.8149,120,0,8,0.3333,1.3416,2.1241,1.3643,0.3455
2026-04-15T02:45:34.783642,0.2,baseline,7,4,23.8681,23.8663,5.0276,5.028,120,0,0,0.0,1.3254,2.0361,1.2818,0.3843
2026-04-15T02:45:44.778326,0.2,hsm_gated,8,1,22.9354,16.0987,5.2321,7.454,120,0,3,0.125,1.3278,2.0483,1.4107,0.2952
2026-04-15T02:46:00.107844,0.2,periodic,8,2,21.6457,11.0336,5.5438,10.8759,120,0,8,0.3333,1.3429,2.0949,1.3921,0.3139
2026-04-15T02:46:09.767219,0.2,baseline,8,3,23.7479,23.7463,5.0531,5.0534,120,0,0,0.0,1.3304,2.0392,1.3174,0.3661
2026-04-15T02:46:38.307701,0.2,always_on,8,4,18.5067,5.0194,6.4842,23.9074,120,0,24,1.0,1.3476,2.2362,1.3518,0.3485
2026-04-15T02:46:45.991428,0.2,baseline,9,1,22.8033,22.8017,5.2624,5.2628,120,0,0,0.0,1.3409,2.239,1.3014,0.3811
2026-04-15T02:47:15.532659,0.2,always_on,9,2,17.9622,4.8169,6.6807,24.9121,120,0,24,1.0,1.3352,2.347,1.3736,0.4249
2026-04-15T02:47:28.142408,0.2,hsm_gated,9,3,21.8085,14.9038,5.5024,8.0516,120,0,5,0.2083,1.305,2.2446,1.3301,0.3728
2026-04-15T02:47:45.489549,0.2,periodic,9,4,20.9235,9.3675,5.7352,12.8102,120,0,8,0.3333,1.3708,2.2728,1.3699,0.3217
2026-04-15T02:47:53.077794,0.2,baseline,10,1,23.3913,23.3895,5.1301,5.1305,120,0,0,0.0,1.3009,2.1492,1.2947,0.3853
2026-04-15T02:48:09.852459,0.2,periodic,10,2,21.3636,9.8344,5.617,12.202,120,0,8,0.3333,1.3353,2.1689,1.338,0.3748
2026-04-15T02:48:38.858776,0.2,always_on,10,3,18.386,4.9292,6.5267,24.3445,120,0,24,1.0,1.3625,2.1814,1.3507,0.432
2026-04-15T02:48:51.548860,0.2,hsm_gated,10,4,21.7354,15.0588,5.5209,7.9687,120,0,3,0.125,1.3139,2.2839,1.3414,0.4317
